communityname,state,countyCode,communityCode,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumB,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
Fultoncity,MO,?,?,5,10033,2.93,11.17,87.79,0.56,0.49,20.03,31.51,20.45,15.04,0,0,23839,69.61,1.6,36.86,36.51,6.82,17.86,29214,10354,10786,6926,14292,6621,11594,14547,897,11.41,16.01,33.47,15.48,3.75,51.22,9.62,41.9,12.46,27.52,11.72,36.97,12.7,12.25,2.94,66.79,63.53,73.84,59.47,75.19,79.96,177,2.46,110,6.36,6.36,17.27,23.64,0.07,0.07,0.19,0.26,96.41,0.3,3.12,2.02,2.31,2.39,2.19,64.03,1.67,50.51,2,331,91.17,61.92,3.63,58.31,1962,8.95,0.56,31400,45800,62900,31500,136,205,267,131,295,24.6,16.8,12.3,0,0,1.1,69.52,48.83,70.2,84.99,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11,912.4,0,?,?,?,?,0,?,0,0,5,47.29,6,56.75,31,293.23,80,756.72,336,3178.21,11,104.05,1,9.46,397.28,4048.43
DeLandcity,FL,?,?,5,16491,2.46,21.9,76.14,0.41,3.78,16.68,28.19,17.14,21.02,0,0,20380,61.34,1.16,41.01,44.58,6.22,23.3,25081,10590,12082,5669,5638,6613,7831,7309,2993,20.32,8.87,27.12,18.94,7.43,45.66,12.02,32.53,16.07,28.51,11.43,34.45,14.58,13.23,2.91,54.63,49.06,60.54,59.41,69.01,70.45,818,6.28,712,14.47,19.66,23.31,29.49,0.62,0.85,1.01,1.27,93.4,1.46,5.71,3.26,2.21,2.25,2.16,53.99,3.53,64.38,2,1013,86.89,52.94,1.18,40.57,1967,11.19,0.63,38800,51100,69900,31100,243,331,413,170,398,28.2,21.7,11.8,14,0,4.32,35.95,40.43,69.42,82.86,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10,1651.7,0.29,?,?,?,?,0,?,2,10.91,12,65.47,85,463.75,261,1423.97,630,3437.18,1548,8445.63,158,862.02,4,21.82,1964.1,12766.65
Covingtoncity,KY,?,?,5,43264,2.5,7.67,91.48,0.43,0.65,13.3,27.87,12.92,12.54,43264,100,21003,71.92,0.33,30.29,32.08,9.97,14.09,26236,10293,10669,6166,6405,3763,10290,11689,8334,19.83,17.48,37.55,9.81,7.63,56.91,17.18,18.85,18.03,18.69,15.39,32.29,17.15,16.34,3.19,61.07,56.51,63.26,64.5,59.72,68.19,2276,6.25,273,12.09,15.02,17.58,25.27,0.08,0.09,0.11,0.16,97.2,0.36,6.42,3.93,2.43,2.65,2.21,55.26,4.38,65.73,2,1798,90.59,50.78,11.12,47.55,1939,8.43,0.58,30500,41600,55800,25300,177,248,320,143,305,26.1,17.5,12.7,58,1,0.63,73.59,52.39,81.44,89.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13.7,3156.1,6.97,?,?,?,?,0,?,5,11.66,29,67.62,174,405.73,473,1102.92,1097,2557.94,2280,5316.42,230,536.31,73,170.22,1587.93,8580.89
Brookingscity,SD,11,7580,5,16270,2.86,0.45,97.05,1.75,0.33,29.33,48.62,36.95,8.87,0,0,20184,82.45,5.71,49.1,22.85,3.94,12.94,30496,9723,9786,4467,5126,9972,4926,3528,3037,22.83,9.93,15.55,34.66,3.91,61.4,14.93,35.03,14.51,26.79,4.19,54.98,6.95,5.54,2.98,79.45,80.28,78.78,83.54,71.71,74.18,159,1.73,402,22.89,46.77,55.47,60.95,0.57,1.16,1.37,1.51,95.17,0.69,2.83,1.85,2.33,2.69,2.01,55.64,1.76,56.6,2,327,94.56,48.36,0.61,47.71,1969,2.59,0.27,42600,56200,71100,28500,186,266,332,146,301,29.5,17.7,11.6,0,0,2.47,60.99,31.73,52.92,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10.8,1509.8,0.15,?,?,?,?,0,?,0,0,3,17.21,2,11.47,3,17.21,110,631.02,403,2311.84,26,149.15,0,0,45.89,3092.01
SandSpringscity,OK,?,?,5,15346,2.71,1.64,91.75,0.22,1.51,15.02,25.71,11.23,9.85,15395,100,28315,78.95,1.5,35.19,24.45,5.66,14.92,34073,12589,13016,6557,8279,4159,5647,5076,1254,8.3,7.49,24.95,14.8,5.44,64.28,23.58,19.76,16.07,24.69,10.25,20.95,15.9,13.27,3.13,77.17,73.01,90.34,79.54,59.06,72.65,100,0.89,84,10.71,10.71,10.71,10.71,0.06,0.06,0.06,0.06,97.63,0.23,3.37,2.6,2.67,2.72,2.53,72.37,2.28,38.99,3,634,89.92,70.89,4.73,64.67,1971,5.4,0.33,41400,55200,73500,32100,188,260,350,162,342,22.3,19.2,12.6,20,0,0.55,68.58,48.61,78.88,91.53,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,18.9,810.2,0.24,?,?,?,?,0,?,0,0,5,30.13,18,108.45,42,253.06,137,825.45,462,2783.64,113,680.85,1,6.03,391.64,4295.96
IdahoFallscity,ID,?,?,5,43929,2.74,0.58,95.34,1.22,4.18,15.77,28.02,12.99,9.29,43929,100,29887,83.25,1.31,44.45,21.63,5.12,13.93,35162,13107,13219,11416,9472,15223,6767,6295,4557,10.5,5.12,15.78,25.72,4.75,66.09,9.69,32.97,10.55,35.66,9.58,25.86,12.61,11.11,3.29,80.14,80.14,87.53,82.55,57.52,67.78,345,0.96,1095,9.04,19.45,34.98,39.36,0.23,0.48,0.87,0.98,94.48,0.98,8.98,6.39,2.71,2.92,2.33,69.71,3.28,43.24,3,828,95.08,64.81,2.17,33.21,1963,4.79,0.14,47600,63400,85300,37700,222,293,370,148,364,22.9,16.8,11.6,32,1,2.49,55.31,48.64,74.18,81.44,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,15,2923.1,16.97,?,?,?,?,0,?,1,1.95,19,37.07,12,23.41,145,282.93,424,827.32,2364,4612.68,115,224.39,26,50.73,345.37,5715.12
Mesacity,AZ,?,?,5,288091,2.67,1.85,90.07,1.51,10.88,14.41,29.13,13.64,11.38,288091,100,30273,79.11,0.81,40.54,24.23,3.8,15.78,35297,13506,13974,10501,8119,12082,8071,8616,27087,9.5,4.97,15.21,20.99,5.11,64.22,18.54,21.46,10.88,27.41,9.74,28.15,13.38,11.62,3.2,76.87,76.45,85.96,79.34,59.6,68.12,3675,1.77,14014,14.71,23.73,31.94,40.45,0.72,1.15,1.55,1.97,89.59,1.53,7.86,5.45,2.65,2.81,2.4,64.5,5.23,61.09,2,32605,76.79,60.89,4.24,18.79,1980,4.2,0.11,68800,86500,109700,40900,333,396,494,161,470,27,23.5,12,217,86,4.86,29.96,36.34,68.74,72.69,384,118.28,371,114.28,789497,243181,2056,118.3,97.36,91.93,1.04,5.99,0.26,7.29,10,8,128.7,112.5,2560.8,0.9,300,28953816,96.61,5,2.6,89183.6,6,1.85,111,34.19,410,126.29,1808,556.9,4664,1436.61,14430,4444.73,2717,836.89,86,26.49,719.23,6744.72
Westboroughtown,MA,27,75015,5,14133,2.62,1.7,94.42,2.97,1.97,11.89,25.45,11.3,11.06,11133,78.65,44044,84.53,0.41,53.51,22.44,2.42,14.38,54566,20922,21114,21172,22425,17543,11960,14901,466,3.45,3.83,9.35,39.65,4.41,68.35,23.74,23.35,8.06,41.25,8.06,31.76,9.98,9.05,3.1,86.37,84.23,94.43,83.52,58.86,73.2,97,0.99,1050,9.52,27.24,39.9,48,0.71,2.02,2.96,3.57,89.54,1.52,3.46,2.32,2.5,2.84,1.95,70.33,1.19,46.59,3,375,93.5,61.96,0.27,27.2,1968,0.28,0.19,159400,197600,249600,90200,526,692,862,336,734,26,22.7,14.1,0,0,7.42,63.56,54.04,73.89,87.31,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,21.3,664.7,0.76,?,?,?,?,0,?,0,0,3,20.37,2,13.58,41,278.44,59,400.68,221,1500.85,38,258.06,0,0,312.39,2159.59
Bridgeporttownship,MI,145,10460,5,12747,2.82,12.07,82.57,0.38,8.07,15.99,26.89,13.54,8.72,8616,67.59,32083,79.48,1.78,37.65,25.41,11.34,19.16,35732,12703,12367,14346,15840,94005,8780,8216,1725,13.7,7.23,24.24,9.21,8.32,59.89,29.09,18.9,23.04,17.22,8.91,28.52,12.57,10.82,3.18,70.8,68.55,75.48,76.86,67.85,68.64,331,3.05,225,8.89,12,12,17.78,0.16,0.21,0.21,0.31,94.53,1,5.29,4.21,2.8,2.92,2.4,79.84,2.86,33.35,3,163,96.51,76.5,3.07,61.96,1963,2.35,0.47,34300,46500,60900,26600,242,307,350,108,376,26.6,17.4,12.7,0,0,1.77,85.3,66.76,92.74,96.95,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,35.9,355.3,0.48,?,?,?,?,0,?,0,0,?,?,7,53.45,12,91.63,64,488.7,202,1542.46,11,84,1,7.64,?,2122.79
Woodhavencity,MI,163,88380,5,11631,2.93,0.65,96.03,2.28,2.61,17.68,28.64,14.52,4.75,11631,100,47513,92.68,0.84,46.17,11.17,2.78,12.31,53178,17438,17595,21188,4965,11941,21731,13471,414,3.61,5.18,14.97,15.62,5.09,72.41,30.69,20.81,14.37,23,7.69,28.94,9.96,8.85,3.37,87.11,86.79,95.97,92.5,54,68.48,85,1.14,484,10.54,15.29,17.98,25,0.44,0.64,0.75,1.04,95.08,0.81,4.32,3.41,2.9,3.31,1.89,81.04,1.64,35.36,3,177,95.72,70.93,0.56,11.86,1975,1.26,0.17,76400,89700,106400,30000,409,433,465,56,484,23.5,15.8,14,0,0,4.16,78.93,60.19,91.01,94.24,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.7,1734.9,0.76,?,?,?,?,0,?,0,0,?,?,4,33.36,15,125.08,84,700.47,547,4561.37,70,583.72,2,16.68,?,5862.24
ApacheJunctioncity,AZ,?,?,5,18100,2.35,0.38,96.39,0.35,5.62,10.48,19.4,8.8,24.95,18196,100,19686,60.02,0.45,35.98,45.6,6.29,25.76,23151,9946,9905,5060,13216,11093,10249,7671,3005,16.72,10.37,29.89,7.25,6.82,45.31,13.27,16.77,17.01,14.72,12.6,16.99,13.33,12.98,2.75,69.07,65.32,73.92,74.11,61.44,73.61,229,1.27,425,0,19.76,24.94,32.24,0,0.46,0.59,0.76,93.83,0.23,3.72,2.58,2.31,2.25,2.52,74.9,5.78,76.07,2,5055,60.38,76.94,5.66,25.74,1979,9.34,0.52,48300,57700,71100,22800,252,305,379,127,400,28.3,23.4,13.9,0,1,2.34,20.91,42.29,58.81,74.73,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,17,1063,0.29,?,?,?,?,0,?,1,4.52,8,36.19,5,22.62,72,325.75,214,968.19,729,3298.19,61,275.98,6,27.15,389.09,4569.52
SouthSanFranciscodivision,CA,81,93170,5,280039,2.82,4.82,61.64,26.37,19.39,12.25,26.29,12.39,10.71,279874,99.98,43088,82.17,0.57,47.05,22.72,5.77,16.49,48707,17622,19632,15256,15338,14858,11579,12278,16162,5.85,7.33,18.13,23.85,4.43,67.21,9.53,19.56,11.22,25.19,9.22,33.18,12.64,10.99,3.32,76.63,72.06,86.83,78.97,70.39,75.87,4841,2.52,86104,13.91,21.87,33.36,43.05,4.28,6.72,10.26,13.24,60.17,6.15,9.26,6.55,2.78,2.91,2.59,62.91,11.59,52.24,2,3641,96.47,60.14,1.32,19.36,1959,0.81,0.42,237400,288000,367500,130100,585,695,879,294,749,27.4,25,11.5,217,122,30.76,48.31,53.89,73.5,89.99,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,61.9,4522.6,11.51,?,?,?,?,0,?,2,3.56,5,8.9,78,138.84,127,226.07,331,589.2,1494,2659.4,294,523.34,21,37.38,377.37,3809.32
Maynardtown,MA,17,39625,5,10325,2.55,0.83,96.39,1.8,2.32,10.97,25.44,11.11,11.5,10325,100,43253,82.29,1.5,50.42,25.36,3.69,15.9,50874,19202,19306,27745,2431,14503,2736,15339,574,5.57,4.25,13.74,28.47,5.92,69.63,33.13,21.16,8.97,34.05,7.49,32.8,10.65,9.12,3.06,79.22,77.57,89.59,64.42,65.17,73.17,86,1.22,664,9.19,14.91,18.22,29.67,0.59,0.96,1.17,1.91,90.9,1.29,4.08,2.81,2.55,2.72,2.23,69.26,1.36,37.83,3,160,96.2,64.85,0,33.12,1954,0.79,0,144300,166700,192100,47800,370,547,721,351,631,24.3,22.4,15.7,0,0,6.43,71.7,57.29,85.97,90.44,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.4,1902.6,1.47,?,?,?,?,0,?,0,0,2,19.1,0,0,25,238.75,62,592.11,88,840.42,8,76.4,3,28.65,257.86,1537.58
Lumbertoncity,NC,?,?,5,18601,2.62,30.39,56.66,0.62,0.45,14.68,25.9,12.69,13.68,0,0,19030,71.8,1.18,23.83,30.69,17.99,12.13,24211,10704,14470,5079,7084,7591,13676,12108,5235,29.1,17.8,38.36,18.49,8.66,53.71,27.92,24.59,21.56,28.3,10.4,32.25,15.84,13.48,3.09,54.71,48.06,46.85,57.85,70.06,71.93,1405,7.69,183,0,5.46,34.43,42.08,0,0.05,0.34,0.41,96.89,0.45,5.06,3.57,2.52,2.54,2.5,56.76,3.81,43.33,3,513,93.26,56.42,2.34,40.35,1966,10.14,0.34,32600,49800,77400,44800,112,184,259,147,286,27.8,21.3,15.7,2,0,0.98,80.78,57.46,85.75,92.75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,12.5,1493.3,0,?,?,?,?,0,?,4,20.49,2,10.24,77,394.35,105,537.74,601,3077.95,1351,6918.98,134,686.26,11,56.34,962.82,10739.53
WebsterGrovescity,MO,?,?,5,22987,2.57,7.09,91.75,0.79,0.95,11.42,20.06,8.51,15.25,22987,100,41489,75.26,0.87,63.61,33.11,2.78,18.49,49494,20238,21280,8005,12294,7735,38720,21101,889,3.96,3.77,10.51,46.79,3.7,62.68,14.76,34.24,5.43,46.24,5.85,23.69,9.3,7.73,3.05,83.73,82.08,95.86,82.59,67.87,71.28,171,1,506,33.79,45.45,47.63,51.78,0.74,1,1.05,1.14,96.55,0.36,3.76,2.67,2.51,2.63,1.9,88.02,0.63,38.15,3,445,95.26,84.15,1.35,40.45,1944,0.85,0.15,77400,98100,143900,66500,326,452,646,320,530,26.8,19.3,12.6,0,0,2.2,66.74,66.54,82.78,91.81,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.1,3761,2.07,?,?,?,?,0,?,1,4.3,0,0,11,47.3,17,73.09,71,305.27,316,1358.67,34,146.19,6,25.8,124.69,1835.93
Hamptoncity,VA,650,35000,5,133793,2.69,38.85,58.41,1.75,1.97,15.27,30.86,15.85,8.9,133793,100,30144,82.79,0.46,35.64,20.28,5.73,20.45,34291,13099,15039,10325,14300,11707,7811,11513,13831,10.82,6.84,20.31,19.07,5.87,64.86,18.75,22.94,11.97,24.88,10.82,30.76,13.57,12.25,3.07,70.94,66.18,77.15,73.44,60.96,70.7,4118,4.51,3858,11.53,20.84,28.07,35.25,0.33,0.6,0.81,1.02,94.8,0.65,3.88,2.79,2.58,2.65,2.48,60.89,2.72,41.34,3,3950,92.63,59.25,1.22,27.29,1966,5.23,0.27,63000,78200,97700,34700,303,385,471,168,470,26.1,22.4,13.2,18,1,2.88,47.36,45.63,66.09,77.87,204,144.65,181,128.34,126926,89996.7,622.2,144.6,75.08,83.33,16.67,0,0,16.67,18,8,33.6,53.7,2492.2,2.38,170,15176792,88.73,5,8.82,107610.9,14,9.93,49,34.74,329,233.28,251,177.97,962,682.11,5532,3922.46,561,397.78,73,51.76,455.92,5054.1
Newtoncity,IA,?,?,5,14789,2.37,0.22,98.77,0.67,0.76,12.71,23.52,10.64,15.39,0,0,28381,73.54,2.4,50.61,32.4,5.77,19.32,35138,13870,13949,8896,42466,4187,19756,12930,1083,7.49,8.24,21.01,15.64,4,61.18,34.56,21.22,18.66,21.12,8.76,21.04,10.77,9.84,2.88,77.34,75.67,83.77,77.47,74.05,78.84,132,1.07,183,24.04,24.04,27.32,49.18,0.3,0.3,0.34,0.61,96.38,0.58,2.15,1.46,2.34,2.53,1.88,75.76,1,47.81,3,248,96.17,69.91,0.4,39.92,1956,2.62,0.08,34700,46800,65700,31000,183,258,325,142,300,20.8,15.2,12.1,0,0,1.24,79.52,55.78,83.56,93.56,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9.3,1593,0.25,?,?,?,?,0,?,0,0,1,6.67,0,0,13,86.77,65,433.83,467,3116.87,29,193.55,?,?,93.44,?
Alexandriacity,LA,?,?,5,49188,2.71,49.29,49.64,0.7,1.03,15.12,27.45,12.96,12.72,49188,100,18546,70.5,0.36,27.78,28.74,14.61,16.75,23151,10887,16216,5251,5400,28931,19074,11043,13710,28.78,14.08,31.37,18.4,11.25,51.28,6.85,35.79,10.44,28.97,11.47,32.28,16.1,14.05,3.25,55.85,46.39,59.93,59.98,61.04,69.15,4002,9.08,559,15.03,20.93,26.3,34.7,0.17,0.24,0.3,0.39,94.66,0.46,7.79,5.42,2.63,2.64,2.61,56.95,5.54,48.37,3,2214,89.12,56.64,15.31,50.14,1962,10.81,0.64,35600,54300,80300,44700,148,233,338,190,332,30.6,19.3,14,49,0,1.14,79.15,53.03,85.09,91.36,228,492.77,113,244.22,15235,32927,66.8,492.8,68.94,80.7,19.3,0,0,19.3,11,8,0,25.6,1919.6,2.96,81,4584714,49.56,10,4.82,99088.2,21,45.39,23,49.71,117,252.87,1613,3486.14,758,1638.25,3119,6741.01,286,618.12,0,0,3834.1,8997.38
Taylorcity,MI,163,79000,5,70811,2.85,4.21,93.23,1.26,2.81,15.39,29.94,14.71,7.33,70811,100,32659,81.77,0.38,31.61,20.72,11.19,15.91,36244,12955,13147,10051,11526,10905,10219,10039,8325,11.92,9.06,31.8,6.76,8.88,59.98,28.38,14.27,23.73,14.34,10.82,30.64,14.91,12.96,3.21,68.46,66,76.21,73.52,48.12,56.84,1909,3.36,2761,7.03,9.13,17.13,21.08,0.27,0.36,0.67,0.82,93.96,0.69,5.23,4.07,2.82,2.92,2.59,70.31,3.17,39.81,3,866,96.63,67.75,2.19,24.25,1962,2.6,0.31,37200,48400,63900,26700,294,387,444,150,457,23.2,15.9,12.8,0,0,3.9,74.75,59.51,91.92,94.73,105,152.34,95,137.83,47935,69548.6,456.5,152.3,93.23,100,0,0,0,0,5,9,245,24.5,2894.5,0.69,62,5471050,90.48,0,4.76,79379.2,4,5.8,?,?,138,200.22,435,631.14,729,1057.7,3078,4465.85,467,677.57,41,59.49,?,6260.61
Moundsvillecity,WV,?,?,5,10753,2.53,1.28,98.36,0.2,1.13,13.06,23.38,11.62,17.01,10753,100,20036,63.85,0.16,38.33,39.86,10,25.7,24126,10048,10078,6528,3723,2000,0,8895,1692,16.7,14.37,35.59,8.71,9.34,43.98,14.97,25.51,18.5,19.88,12.11,27.58,12.7,12.41,2.95,72.67,66.92,78.98,84.27,48,61.72,168,1.72,30,0,0,0,0,0,0,0,0,97.61,0.32,2.68,1.88,2.38,2.42,2.31,69.51,1.22,51.99,2,360,92.2,68.48,4.17,56.94,1943,9.98,0.26,27900,38100,50400,22500,142,188,238,96,276,28,15.7,11.8,0,0,0.28,84.48,58.35,86.25,93.1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3,3623,0.11,?,?,?,?,0,?,0,0,0,0,1,9.23,3,27.69,80,738.28,278,2565.52,34,313.77,0,0,36.91,3617.57
Anchoragecity,AK,?,?,5,226338,2.74,6.43,80.74,4.82,4.09,13.96,28.98,13.23,3.48,221745,97.97,43946,90.83,1.16,71.66,9.3,6.38,11.91,50098,19620,21277,13649,10760,13604,13713,13092,15614,7.07,2.81,9.61,26.85,6.46,73.29,3.6,23.88,8.2,32.34,12.91,30.96,16.43,14.62,3.2,75.08,73.33,80.91,79.36,59.56,69.06,4524,3.32,13359,15.91,25.86,37.12,44.62,0.94,1.53,2.19,2.63,90.27,1.37,5.36,3.69,2.68,2.84,2.5,55.96,4.89,47.7,3,11451,87.84,52.81,5.83,42.75,1976,3.4,0.55,81700,109700,143300,61600,412,528,692,280,564,24.8,22.6,11.4,310,34,5.9,26.62,37.54,68.86,75,266,104.93,252,99.41,107811,42529,405.3,104.9,89.39,89.47,4.14,1.88,2.63,8.65,16,11,0,1758.8,128.7,2.42,301,29413120,94.74,10,6.02,116028.1,23,9.07,212,83.63,568,224.06,1410,556.21,1880,741.62,10660,4205.13,1387,547.14,105,41.42,872.98,5535.31
Irvingcity,TX,?,?,5,155037,2.45,7.52,78.73,4.61,16.28,13.16,34.64,15.76,5.01,155037,100,31767,90.72,0.92,35.28,10.97,2.28,7.89,37072,16424,18131,11982,10148,11418,7608,8307,16209,10.55,7.43,19.29,26.19,5.24,75.65,15.91,15.77,12.38,26.79,12.54,33.57,17.23,14.89,3.07,72.46,69.41,81.92,74.36,69.83,74.74,2175,2.38,19560,19.83,32.14,48.19,65.61,2.5,4.05,6.08,8.28,80.23,4.9,5.27,3.3,2.44,2.73,2.26,41.68,7.96,64.72,2,7823,88.99,37.15,1.05,20.93,1976,6.09,0.35,63400,79400,102900,39500,351,424,524,173,485,23,20,12.2,0,0,12.62,52.32,35.53,67.51,82.91,238,141.65,213,126.77,113377,67477.5,476.4,141.6,85.45,92.86,2.52,3.78,0.42,6.72,12,11,48.3,70.1,2213,1.5,91,12657826,89.5,10,5.04,75334.3,8,4.76,67,39.88,185,110.1,415,246.99,1663,989.75,7583,4513.1,897,533.86,45,26.78,401.73,6063.49
SaratogaSpringscity,NY,91,65255,5,25001,2.58,3.28,95.48,0.74,1.38,19.92,33.11,20.65,11.62,0,0,30938,76.93,0.68,52.03,28.57,5.1,15.66,40638,15876,16212,9813,9486,2406,10781,11048,2028,8.87,7.06,16.55,30.79,5.46,59.96,10.86,36.11,9.13,37.74,8.68,40.53,11.02,9.93,3.04,76.05,74.35,89.3,80.58,50.28,65.35,276,1.63,740,5.54,14.05,17.7,23.38,0.16,0.42,0.52,0.69,95.12,0.05,3.68,2.22,2.36,2.7,1.96,61.53,1.34,48.05,3,1063,90.11,53.67,0.85,52.49,1959,2.28,0.29,85600,108800,151100,65500,315,408,499,184,475,27.6,18.9,12.8,1,0,2.96,71.72,47.93,71.42,84.67,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,29.4,848.9,1.64,?,?,?,?,0,?,0,0,20,76.72,13,49.87,314,1204.5,245,939.81,963,3694.04,40,153.44,7,26.85,1331.08,4814.15
Bedfordtown,NH,11,4500,5,12563,3.14,0.19,98.46,1.18,0.52,15.39,21.75,10.85,7.89,2075,16.52,63782,86.11,0.93,65.58,17.51,0.5,14.35,68187,25883,25864,21818,7000,28021,40800,24358,274,2.24,4.76,10.34,42.97,3.83,70.83,15.87,25.86,4.5,44.34,4.65,24.24,5.66,5.17,3.31,92.19,91.19,97.6,94.43,71.65,76.65,13,0.15,519,0,5.78,10.02,10.02,0,0.24,0.41,0.41,87.51,0.22,4.28,3.7,3.07,3.12,2.33,94.74,0.25,13.02,3,159,96.17,93.07,0,50.31,1976,0,0,151700,199500,258600,106900,441,760,930,489,849,26.1,23.1,12.5,0,0,4.13,48.42,60.17,82.33,85.46,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,34,369.3,0.39,?,?,?,?,0,?,0,0,0,0,1,7.88,3,23.64,19,149.69,99,779.96,8,63.03,0,0,31.51,992.67
Muskogeecity,OK,?,?,5,37708,2.5,18.85,69.02,0.53,1.5,13.67,24.46,11.63,16.42,0,0,19507,64.99,0.99,29.34,36.05,11.68,18.86,24733,10436,11968,6726,7732,6344,3747,7008,8214,22.47,11.28,31.06,15.97,6.21,51.58,17.39,26.93,17.49,22.43,12.47,23.64,16.01,14.42,3.03,65.86,61.7,70.86,69.68,55.53,64.9,1393,4.29,384,14.32,24.22,28.91,38.8,0.15,0.25,0.29,0.4,96.35,0.47,4.49,3.02,2.42,2.46,2.36,64.73,2.72,50.87,2,2586,85.37,63.75,3.75,54.83,1959,10.98,0.42,26900,40300,59400,32500,157,229,290,133,298,27.7,19.6,13.5,73,0,1.02,69.79,50.52,83.12,93.06,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,35.7,1055.8,0.07,?,?,?,?,0,?,6,15.31,39,99.49,109,278.05,298,760.18,837,2135.15,1663,4242.24,243,619.88,20,51.02,1153.03,7048.29
WestBendcity,WI,131,85350,5,23916,2.75,0.13,98.74,0.47,0.92,13.83,27.68,12.85,10.66,0,0,34337,81.15,0.46,53.95,24.98,4.52,13.82,38565,13957,14025,2806,8036,5512,28686,11737,1025,4.37,10.04,19.66,16.54,3.43,68.31,35.63,17.93,22.1,21.92,7.2,27.51,9.66,8.48,3.2,82,81.94,88.27,84.38,66.43,75.34,264,1.42,349,0,1.72,8.02,9.74,0,0.03,0.12,0.14,95.85,0.35,4.49,3.29,2.71,2.96,2.28,68.84,1.51,39.8,3,201,97.74,62.96,0.5,25.87,1967,1.46,0.32,62500,73100,90400,27900,320,391,444,124,455,23.8,20.4,13,2,0,1.46,84.14,52.47,82.5,94.86,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10.4,2302,0.28,?,?,?,?,0,?,0,0,6,21.87,1,3.64,28,102.06,91,331.69,1095,3991.25,44,160.38,9,32.8,127.57,4516.13
